epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.381,1.74485,1.69934,1.4539,0.72101,0.58579,0.63542,0.31506,1.84939,1.72893,1.58825,0.000665446,0.000665446,0.000665446
2,310.111,1.62859,1.1805,1.42015,0.75579,0.75497,0.80504,0.44009,1.63785,1.16745,1.46519,0.00130574,0.00130574,0.00130574
3,470.606,1.56927,1.11544,1.40426,0.79103,0.80072,0.83694,0.46439,1.57661,1.0649,1.45177,0.00191963,0.00191963,0.00191963
4,615.217,1.50481,1.0208,1.36193,0.82344,0.80939,0.87221,0.51436,1.50125,0.97054,1.39458,0.0018812,0.0018812,0.0018812
5,757.696,1.45003,0.94766,1.32246,0.8475,0.8607,0.91193,0.5548,1.44097,0.87754,1.357,0.0018416,0.0018416,0.0018416
6,900.835,1.42047,0.90097,1.30086,0.85998,0.85069,0.90314,0.51989,1.44999,0.87821,1.35003,0.001802,0.001802,0.001802
7,1044.16,1.38876,0.87,1.28644,0.85111,0.84231,0.90879,0.55034,1.41295,0.86118,1.33597,0.0017624,0.0017624,0.0017624
8,1187.75,1.36822,0.84727,1.27705,0.85808,0.87721,0.93259,0.59186,1.3528,0.80802,1.29288,0.0017228,0.0017228,0.0017228
9,1330.34,1.32879,0.81377,1.25506,0.87471,0.8795,0.93776,0.60231,1.33093,0.75851,1.27993,0.0016832,0.0016832,0.0016832
10,1475.74,1.30117,0.78736,1.23492,0.87289,0.88081,0.93531,0.59489,1.32381,0.75502,1.27808,0.0016436,0.0016436,0.0016436
11,1622.85,1.28917,0.77,1.23179,0.87154,0.89096,0.93736,0.62084,1.29752,0.74285,1.26802,0.001604,0.001604,0.001604
12,1767.67,1.2805,0.76115,1.22097,0.86545,0.88179,0.93727,0.60558,1.31147,0.74496,1.26572,0.0015644,0.0015644,0.0015644
13,1910.82,1.25043,0.74085,1.20311,0.88867,0.89389,0.94674,0.63633,1.26779,0.70893,1.23558,0.0015248,0.0015248,0.0015248
14,2050.54,1.24186,0.72873,1.20212,0.88927,0.88881,0.9455,0.63869,1.24839,0.68055,1.23965,0.0014852,0.0014852,0.0014852
15,2190.31,1.22675,0.7165,1.2024,0.86726,0.90493,0.95049,0.6477,1.23691,0.67285,1.23649,0.0014456,0.0014456,0.0014456
16,2333.91,1.21607,0.70396,1.19115,0.88375,0.90635,0.95057,0.65121,1.22695,0.6647,1.22001,0.001406,0.001406,0.001406
17,2472.35,1.21228,0.69707,1.19018,0.88587,0.90242,0.95008,0.6339,1.26059,0.70086,1.24218,0.0013664,0.0013664,0.0013664
18,2622.28,1.18548,0.68343,1.17615,0.88383,0.9093,0.95094,0.65795,1.21822,0.65121,1.21605,0.0013268,0.0013268,0.0013268
19,2773.4,1.17896,0.67377,1.17096,0.89222,0.89447,0.95305,0.66185,1.2218,0.65011,1.20499,0.0012872,0.0012872,0.0012872
20,2926.45,1.16118,0.66913,1.1591,0.89383,0.90691,0.95623,0.66052,1.20319,0.66242,1.20432,0.0012476,0.0012476,0.0012476
21,3079.55,1.15411,0.65089,1.15682,0.87321,0.9223,0.95407,0.66837,1.18952,0.63178,1.18852,0.001208,0.001208,0.001208
22,3223.47,1.13682,0.64868,1.14173,0.88939,0.91257,0.95783,0.66987,1.18022,0.60943,1.19061,0.0011684,0.0011684,0.0011684
23,3373.13,1.13427,0.64053,1.14165,0.9007,0.90591,0.96051,0.67479,1.17948,0.6051,1.18537,0.0011288,0.0011288,0.0011288
24,3511.71,1.11596,0.62484,1.13289,0.89085,0.922,0.96025,0.68225,1.16199,0.60234,1.1787,0.0010892,0.0010892,0.0010892
25,3650.77,1.10829,0.62029,1.1298,0.89521,0.91754,0.96186,0.68344,1.16991,0.59609,1.18456,0.0010496,0.0010496,0.0010496
26,3790.77,1.09557,0.61404,1.1251,0.89464,0.92029,0.96108,0.68483,1.16158,0.59488,1.1801,0.00101,0.00101,0.00101
